step,threshold,score,prediction,true_label,frozen
0,0.001,0.00082,0,0,0
100,0.001,0.000805,0,0,1
200,0.001,0.000789,0,0,1
300,0.001,0.000821,0,0,1
400,0.001,0.00105,1,0,1
500,0.001,0.000805,0,0,1
600,0.001,0.000805,0,0,1
700,0.001,0.000805,0,0,1
800,0.001,0.00125,1,0,1
900,0.001,0.000805,0,0,1
1000,0.001,0.000794,0,0,1
1100,0.001,0.000805,0,0,1
1200,0.001,0.000805,0,0,1
1300,0.001,0.000777,0,0,1
1400,0.001,0.001036,1,0,1
1500,0.001,0.000913,0,0,1
1600,0.001,0.000813,0,0,1
1700,0.001,0.000821,0,0,1
1800,0.001,0.000915,0,0,1
1900,0.001,0.01651,1,0,1
2000,0.001,0.000794,0,0,1
2100,0.001,0.000813,0,0,1
2200,0.001,0.000912,0,0,1
2300,0.001,0.00417,1,0,1
2400,0.001,0.000805,0,0,1
2500,0.001,0.000805,0,0,1
2600,0.001,0.000884,0,0,1
2700,0.001,0.004885,1,0,1
2800,0.001,0.002792,1,0,1
2900,0.001,0.000838,0,0,1
3000,0.001,0.000805,0,0,1
3100,0.001,0.081282,1,0,1
3200,0.001,0.000805,0,0,1
3300,0.001,0.000805,0,0,1
3400,0.001,0.001209,1,0,1
3500,0.001,0.000898,0,0,1
3600,0.001,0.001113,1,0,1
3700,0.001,0.000802,0,0,1
3800,0.001,0.000805,0,0,1
3900,0.001,0.000805,0,0,1
4000,0.001,0.000813,0,0,1
4100,0.001,0.001301,1,0,1
4200,0.001,0.000805,0,0,1
4300,0.001,0.002929,1,0,1
4400,0.001,0.000805,0,0,1
4500,0.001,0.000805,0,0,1
4600,0.001,0.000805,0,0,1
4700,0.001,0.000794,0,0,1
4800,0.001,0.000795,0,0,1
4900,0.001,0.000793,0,0,1
5000,0.001,0.000805,0,0,1
5100,0.007786,0.000805,0,0,0
5200,0.016543,0.000789,0,0,0
5300,0.016543,0.000814,0,0,0
5400,0.016543,0.003153,0,0,0
5500,0.016543,0.000917,0,0,0
5600,0.023619,0.000805,0,0,0
5700,0.023619,0.003895,0,0,0
5800,0.026654,0.000805,0,0,0
5900,0.026654,0.003129,0,0,0
6000,0.026719,0.000805,0,0,0
6100,0.026719,0.000794,0,0,0
6200,0.026719,0.000932,0,0,0
6300,0.026719,0.000812,0,0,0
6400,0.026923,0.000805,0,0,0
6500,0.028922,0.000805,0,0,0
6600,0.028179,0.000805,0,0,0
6700,0.028028,0.001133,0,0,0
6800,0.028028,0.000896,0,0,0
6900,0.028934,0.000805,0,0,0
7000,0.028934,0.000805,0,0,0
7100,0.028934,0.000916,0,0,0
7200,0.028934,0.000805,0,0,0
7300,0.028922,0.000805,0,0,0
7400,0.019925,0.001342,0,0,0
7500,0.019925,0.002017,0,0,0
7600,0.024991,0.003867,0,0,0
7700,0.024991,0.000805,0,0,0
7800,0.01651,0.000872,0,0,0
7900,0.016537,0.000805,0,0,0
8000,0.016537,0.000805,0,0,0
8100,0.016425,0.000794,0,0,0
8200,0.015206,0.000805,0,0,0
8300,0.01651,0.000819,0,0,0
8400,0.01651,0.000932,0,0,0
8500,0.01651,0.000896,0,0,0
8600,0.01651,0.000794,0,0,0
8700,0.01651,0.001434,0,0,0
8800,0.01651,0.0008,0,0,0
8900,0.01651,0.000805,0,0,0
9000,0.01499,0.000877,0,0,0
9100,0.015455,0.000794,0,0,0
9200,0.014896,0.000805,0,0,0
9300,0.012795,0.000792,0,0,0
9400,0.013906,0.001078,0,0,0
9500,0.010958,0.000953,0,0,0
9600,0.010957,0.000805,0,0,0
9700,0.011355,0.000803,0,0,0
9800,0.011356,0.000805,0,0,0
9900,0.012203,0.000805,0,0,0
10000,0.012752,0.003094,0,0,0
10100,0.012752,0.001202,0,0,0
10200,0.012752,0.000794,0,0,0
10300,0.012752,0.000812,0,0,0
10400,0.012752,0.000805,0,0,0
10500,0.012888,0.000894,0,0,0
10600,0.012197,0.000805,0,0,0
10700,0.012197,0.000805,0,0,0
10800,0.011671,0.000805,0,0,0
10900,0.01167,0.000805,0,0,0
11000,0.010127,0.000785,0,0,0
11100,0.010127,0.000805,0,0,0
11200,0.010957,0.000805,0,0,0
11300,0.010957,0.003193,0,0,0
11400,0.010191,0.000814,0,0,0
11500,0.008436,0.000813,0,0,0
11600,0.008436,0.000805,0,0,0
11700,0.010191,0.000794,0,0,0
11800,0.010191,0.000877,0,0,0
11900,0.010127,0.000805,0,0,0
12000,0.010127,0.000794,0,0,0
12100,0.010127,0.000811,0,0,0
12200,0.009751,0.052562,1,0,0
12300,0.009754,0.001011,0,0,0
12400,0.011308,0.00439,0,0,0
12500,0.011356,0.000805,0,0,0
