threshold,accuracy,precision,recall,f1,fpr,fnr,tp,tn,fp,fn
0.0001,0.355324,0.355324,1.0,0.524338,1.0,0.0,220788,0,400583,0
0.0005,0.355324,0.355324,1.0,0.524338,1.0,0.0,220788,0,400583,0
0.001,0.850065,0.704207,0.996676,0.825296,0.230741,0.003324,220054,308152,92431,734
0.002,0.796463,0.776343,0.600046,0.676904,0.095279,0.399954,132483,362416,38167,88305
0.005,0.83633,0.913626,0.595694,0.721174,0.03104,0.404306,131522,388149,12434,89266
0.01,0.84499,0.950501,0.59472,0.731652,0.01707,0.40528,131307,393745,6838,89481
0.02,0.846164,0.96413,0.588968,0.731237,0.012077,0.411032,130037,395745,4838,90751
0.05,0.846887,0.972624,0.585571,0.731026,0.009084,0.414429,129287,396944,3639,91501
0.1,0.848097,0.983203,0.582446,0.731533,0.005485,0.417554,128597,398386,2197,92191
0.2,0.838303,0.99209,0.54931,0.707104,0.002414,0.45069,121281,399616,967,99507
0.5,0.654593,0.964146,0.028987,0.056282,0.000594,0.971013,6400,400345,238,214388
